"Monto";"Cantidad";"level3";"Proveedor";"Municipios"
301.997;1;Empanadas, tartas y pies;"""Rosa Elvira """;Municipalidad de Til Til
2.811.790;16;Aceites vegetales y grasas comestibles;"""Jose del Carmen Carvallo Palma""";Municipalidad de Coelemu
115.309;1;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""SUPERMERCADO COMBARBALA""";Municipalidad de Monte Patria
552.288;2;Empanadas, tartas y pies;"""Don Jacinto""";Municipalidad de Pelluhue
740.576;2;Acompañamientos preparados;"""MARISOL DE LAS NIEVES""";Municipalidad de Empedrado
829.433;3;Empanadas, tartas y pies;"""miguel alejandro""";Municipalidad de Los Vilos
12.256.802;2;Aceites vegetales y grasas comestibles;"""Victor Rosales Comercializadora E.I.R.L""";Municipalidad de Florida
503.838;1;Empanadas, tartas y pies;"""SUPERMERCADO ITALIA CIA LTDA.""";Municipalidad de Retiro
754.958;2;Acompañamientos preparados;"""CLAUDIA ANDREA SALDIVIA VIDAL""";Municipalidad de Coyhaique
61.962;1;Aceites vegetales y grasas comestibles;"""DIMERC S.A.""";Municipalidad de Conchalí
139.437;3;Bebidas y comidas infantiles;"""Jonathan Andres""";Municipalidad de Santa Bárbara
275.191;1;Aceites vegetales y grasas comestibles;"""Victor Rosales Comercializadora E.I.R.L""";Municipalidad de Coronel
84.453;1;Aceites vegetales y grasas comestibles;"""MAYEMAR""";Municipalidad de Litueche
1.063.818;4;Empanadas, tartas y pies;"""Roxana Paola """;Municipalidad de Las Cabras
657.219;1;Ensaladas preparadas;"""MANUEL PADILLA RODRIGUEZ""";Municipalidad de Pichilemu
121.072;2;Grasas y aceites animales comestibles;"""HUERTOS DEL SUR""";Municipalidad de Macúl
1.278.341;3;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""Servicios Integrados Sidapt Ltda.""";Municipalidad de Rauco
168.634;1;Ensaladas preparadas;"""DIMERC S.A.""";Municipalidad de Coltauco
179.186;2;Aceites vegetales y grasas comestibles;"""DISTRIBUIDORA Y COMERCIAL DIMAK LIMITADA""";Municipalidad de Osorno
61.405;1;Bebidas y comidas infantiles;"""Supermercado San Roberto""";Municipalidad de Litueche
88.961;1;Acompañamientos preparados;"""maritza Huerta""";Municipalidad de Empedrado
1.467.446;5;Aceites vegetales y grasas comestibles;"""Victor Rosales Comercializadora E.I.R.L""";Municipalidad de Chiguayante
437.370;1;Aceites vegetales y grasas comestibles;"""PRISA S.A.""";Municipalidad de Graneros
547.037;1;Aceites vegetales y grasas comestibles;"""COMERCIAL SOLO FRESCO SA""";Municipalidad de San Antonio
914.386;4;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""DIMERC S.A.""";Municipalidad de Coltauco
